| Epoch: 1/8 (1365/1365) | Loss: 1.153 | 1.4 steps/s | Step: 1k | 
| Epoch: 2/8 (1365/1365) | Loss: 1.052 | 3.6 steps/s | Step: 2k | 
| Epoch: 3/8 (1365/1365) | Loss: 1.014 | 3.7 steps/s | Step: 4k | 
| Epoch: 4/8 (1365/1365) | Loss: 0.9828 | 3.6 steps/s | Step: 5k | 
| Epoch: 5/8 (1365/1365) | Loss: 0.9530 | 3.7 steps/s | Step: 6k | 
| Epoch: 6/8 (1365/1365) | Loss: 0.9327 | 3.7 steps/s | Step: 8k | 
| Epoch: 7/8 (1365/1365) | Loss: 0.9130 | 3.6 steps/s | Step: 9k | 
| Epoch: 8/8 (1365/1365) | Loss: 0.8996 | 3.7 steps/s | Step: 10k | 
| Epoch: 1/74 (1365/1365) | Loss: 0.7972 | 2.8 steps/s | Step: 12k | 
| Epoch: 2/74 (1365/1365) | Loss: 0.7864 | 2.8 steps/s | Step: 13k | 
| Epoch: 3/74 (1365/1365) | Loss: 0.7813 | 2.8 steps/s | Step: 15k | 
| Epoch: 4/74 (1365/1365) | Loss: 0.7770 | 2.8 steps/s | Step: 16k | 
| Epoch: 5/74 (1365/1365) | Loss: 0.7735 | 2.8 steps/s | Step: 17k | 
| Epoch: 6/74 (1365/1365) | Loss: 0.7701 | 2.8 steps/s | Step: 19k | 
| Epoch: 7/74 (1365/1365) | Loss: 0.7673 | 2.8 steps/s | Step: 20k | 
| Epoch: 8/74 (1365/1365) | Loss: 0.7647 | 2.8 steps/s | Step: 21k | 
| Epoch: 9/74 (1365/1365) | Loss: 0.7620 | 2.8 steps/s | Step: 23k | 
| Epoch: 10/74 (1365/1365) | Loss: 0.7596 | 2.8 steps/s | Step: 24k | 
| Epoch: 11/74 (1365/1365) | Loss: 0.7574 | 2.8 steps/s | Step: 25k | 
| Epoch: 12/74 (1365/1365) | Loss: 0.7551 | 2.8 steps/s | Step: 27k | 
| Epoch: 13/74 (1365/1365) | Loss: 0.7532 | 2.8 steps/s | Step: 28k | 
| Epoch: 14/74 (1365/1365) | Loss: 0.7512 | 2.5 steps/s | Step: 30k | 
| Epoch: 15/74 (1365/1365) | Loss: 0.7496 | 2.8 steps/s | Step: 31k | 
| Epoch: 16/74 (1365/1365) | Loss: 0.7476 | 2.7 steps/s | Step: 32k | 
| Epoch: 17/74 (1365/1365) | Loss: 0.7457 | 2.7 steps/s | Step: 34k | 
| Epoch: 18/74 (1365/1365) | Loss: 0.7443 | 2.7 steps/s | Step: 35k | 
| Epoch: 19/74 (1365/1365) | Loss: 0.7427 | 2.7 steps/s | Step: 36k | 
| Epoch: 20/74 (1365/1365) | Loss: 0.7408 | 2.7 steps/s | Step: 38k | 
