| Epoch: 1/1467 (682/682) | Loss: 9.2503 | 0.7 steps/s | Step: 0k | 
| Epoch: 2/1467 (682/682) | Loss: 9.0235 | 3.1 steps/s | Step: 1k | 
| Epoch: 3/1467 (682/682) | Loss: 8.5672 | 3.1 steps/s | Step: 2k | 
| Epoch: 4/1467 (682/682) | Loss: 8.5122 | 3.1 steps/s | Step: 2k | 
| Epoch: 5/1467 (682/682) | Loss: 8.0891 | 3.1 steps/s | Step: 3k | 
| Epoch: 6/1467 (682/682) | Loss: 6.9208 | 3.0 steps/s | Step: 4k | 
| Epoch: 7/1467 (682/682) | Loss: 6.5403 | 3.2 steps/s | Step: 4k | 
| Epoch: 8/1467 (682/682) | Loss: 6.5110 | 3.2 steps/s | Step: 5k | 
| Epoch: 9/1467 (682/682) | Loss: 6.2800 | 3.2 steps/s | Step: 6k | 
| Epoch: 10/1467 (682/682) | Loss: 6.1639 | 3.2 steps/s | Step: 6k | 
| Epoch: 11/1467 (682/682) | Loss: 6.1085 | 3.2 steps/s | Step: 7k | 
| Epoch: 12/1467 (682/682) | Loss: 6.0833 | 3.2 steps/s | Step: 8k | 
| Epoch: 13/1467 (682/682) | Loss: 5.9683 | 3.2 steps/s | Step: 8k | 
| Epoch: 14/1467 (682/682) | Loss: 6.0738 | 3.2 steps/s | Step: 9k | 
| Epoch: 15/1467 (682/682) | Loss: 5.8843 | 3.2 steps/s | Step: 10k | 
| Epoch: 16/1467 (682/682) | Loss: 5.8582 | 3.2 steps/s | Step: 10k | 
| Epoch: 17/1467 (682/682) | Loss: 5.8764 | 3.2 steps/s | Step: 11k | 
| Epoch: 18/1467 (682/682) | Loss: 5.7993 | 3.2 steps/s | Step: 12k | 
| Epoch: 19/1467 (682/682) | Loss: 5.7522 | 3.2 steps/s | Step: 12k | 
| Epoch: 20/1467 (682/682) | Loss: 5.7497 | 3.2 steps/s | Step: 13k | 
| Epoch: 21/1467 (682/682) | Loss: 5.6551 | 3.2 steps/s | Step: 14k | 
| Epoch: 22/1467 (682/682) | Loss: 5.6000 | 3.2 steps/s | Step: 15k | 
| Epoch: 23/1467 (682/682) | Loss: 5.6698 | 3.2 steps/s | Step: 15k | 
| Epoch: 24/1467 (682/682) | Loss: 5.6404 | 3.2 steps/s | Step: 16k | 
| Epoch: 25/1467 (682/682) | Loss: 5.5488 | 3.2 steps/s | Step: 17k | 
| Epoch: 26/1467 (682/682) | Loss: 5.5987 | 3.1 steps/s | Step: 17k | 
| Epoch: 27/1467 (682/682) | Loss: 5.5171 | 3.2 steps/s | Step: 18k | 
| Epoch: 28/1467 (682/682) | Loss: 5.5106 | 3.1 steps/s | Step: 19k | 
| Epoch: 29/1467 (682/682) | Loss: 5.5361 | 3.1 steps/s | Step: 19k | 
| Epoch: 30/1467 (682/682) | Loss: 5.5134 | 3.2 steps/s | Step: 20k | 
| Epoch: 31/1467 (682/682) | Loss: 5.4376 | 3.1 steps/s | Step: 21k | 
| Epoch: 32/1467 (682/682) | Loss: 5.3891 | 3.2 steps/s | Step: 21k | 
| Epoch: 1/1435 (682/682) | Loss: 5.8622 | 3.0 steps/s | Step: 22k | 
| Epoch: 2/1435 (682/682) | Loss: 5.4826 | 3.1 steps/s | Step: 23k | 
| Epoch: 3/1435 (682/682) | Loss: 5.3459 | 3.1 steps/s | Step: 23k | 
| Epoch: 4/1435 (682/682) | Loss: 5.4482 | 3.1 steps/s | Step: 24k | 
| Epoch: 1/1431 (682/682) | Loss: 5.9687 | 2.2 steps/s | Step: 25k | 
| Epoch: 2/1431 (682/682) | Loss: 5.5446 | 3.0 steps/s | Step: 25k | 
| Epoch: 3/1431 (682/682) | Loss: 5.4518 | 3.1 steps/s | Step: 26k | 
| Epoch: 4/1431 (682/682) | Loss: 5.3588 | 3.1 steps/s | Step: 27k | 
| Epoch: 5/1431 (682/682) | Loss: 5.3364 | 3.0 steps/s | Step: 27k | 
| Epoch: 6/1431 (682/682) | Loss: 5.2269 | 3.0 steps/s | Step: 28k | 
| Epoch: 7/1431 (682/682) | Loss: 5.2182 | 3.0 steps/s | Step: 29k | 
